"","Family","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.4","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3"
"1","Calanidae",54905,47602,41872,26164,31671,31844,20107,24239,20325,163,2536,1083,9782,1879,7502,988,4094,16704,51663,2327,50992,16483,14695,8827,22473,4042,28282,713,7020,4284,17497,21011,19765,996
"2","Clausocalanidae",2787,2431,2014,1506,1555,1756,1008,1027,1143,0,0,0,0,0,28,0,0,0,23,0,21,123,85,40,144,0,85,0,5347,0,0,0,125,0
"3","Eucalanidae",454,312,281,89,84,92,19,16,33,0,0,0,4,8,16,0,0,12,57,0,41,76,132,1,3,11,8,0,43,0,0,0,0,0
"4","Euphausiidae",11996,7825,6157,3485,5519,4433,2254,3070,5225,0,156,159,577,664,2500,2537,19145,0,322,408,10007,0,530,2899,8372,229,329,0,3597,23613,23,3305,6595,0
"5","Metridinidae",59721,52311,47020,30296,36763,35862,23015,27240,23665,2670,71643,634,6779,6111,23037,522,1444,146,404,490,7860,51438,45808,89,249,882,4453,32598,44997,1490,0,2085,169,146
"6","Oithonidae",481,364,221,133,136,104,14,34,62,0,0,0,0,0,0,0,0,0,0,0,0,141,148,0,0,0,0,0,44,0,0,0,0,0
"7","Paracalanidae",2667,2377,2005,1065,1322,1274,618,592,1013,0,0,0,0,0,0,0,0,0,2,0,0,799,738,0,0,0,0,0,538,0,0,0,0,0
"8","Rhincalanidae",730,633,546,413,500,516,318,346,321,10,79,0,367,13,146,0,118,66,252,0,374,668,558,305,869,0,509,29,415,96,51,97,521,12
"9","Salpidae",199,160,155,71,102,98,0,28,86,0,0,0,0,0,0,0,0,0,0,35,154,0,38,45,66,0,0,0,0,0,0,18,0,0
"10","other",17337,14048,10559,4726,5437,6629,2443,2841,6085,6,207,23,117,65,296,35,171,3828,15043,9,323,66,102,21,94,0,0,0,104,33,2613,19,0,0
"11","unidentified Calanoida",2779,2297,1888,1180,1536,1304,742,763,980,0,554,0,529,406,1301,152,543,290,902,22,1789,2092,1759,311,834,19,269,158,2608,633,152,447,498,0
