"","Hash","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.1","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T6.H25_S3.1","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T8.H18_S3.3","C2.T9.H19_S3.3","C3.T7.H26_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T6.H33_S3.3","CT1.T7.H34_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3"
"1","1784e869dc2724619a035c17ab1fff64ceb125f7",730,633,546,413,500,516,318,346,321,56,35,0,155,1214,0,0,0,0,14,0,0,0,0,0,5,29,0,7,54,308,0,34,0,1148,1147,11677,428,2910,13,0,1158,1729,0,55,0,0,0,80,197,4047,1154
"2","1a08bb6d37d7924e5dab4c0408f64896eacb991a",2787,2431,2014,1506,1555,1756,1008,1027,1143,0,0,0,10,0,0,0,0,110,188,189,656,21,0,34,27,76,0,0,0,3,0,64,0,0,0,0,0,4,0,0,48,8,0,373,0,0,0,0,0,0,0
"3","247f09ccc8ae0ecc2da039900610e5494db93abe",454,312,281,89,84,92,19,16,33,73,225,5,34,2236,0,0,5,11,33,0,20,0,0,24,34,153,0,0,6,75,12,56,53,472,21,1246,31,92,9,0,339,1430,0,98,0,0,0,0,4,23,3
"4","2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",11996,7825,6157,3485,5519,4433,2254,3070,5225,8970,25067,304,6064,14459,287,0,0,323,819,0,91,0,386,1918,158,545,250,804,813,3444,1436,20233,19,1213,389,7413,1609,14565,3535,5972,29364,0,0,4554,66,0,0,1210,22,1276,6188
"5","388725f240f778bbad66a1a652b752a88fd3956a",481,364,221,133,136,104,14,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","50ae18a387ee0c27a601b2de29233b88891665e2",54825,47483,41869,26088,31441,31601,20107,24184,20106,3555,820,1,40,3513,0,0,110,705,1716,88,277,30909,0,181,0,12,100,397,5860,21753,348,3116,857,22297,10972,93517,5051,35369,912,0,420,4254,0,3934,0,0,0,10226,3165,39108,18017
"7","961cd5ce154310c7fd54468560aca8d35041c8c7",2667,2377,2005,1065,1322,1274,618,592,1013,0,0,0,0,35,0,0,0,0,0,0,30,0,0,4,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,17,0,51,0,0,0,0,0,0,0
"8","b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",59721,52311,47020,30296,36763,35862,23015,27240,23665,16012,13148,0,182,314,3803,0,0,3130,6082,47328,85922,14,0,49,3127,5703,62,151,0,0,666,7702,2731,75147,0,0,0,17,4851,2064,1199,246,0,14082,0,674,0,0,15411,175,43
"9","dd7072b661c5b53f5177a820ab2c1ca431c1df7b",199,160,155,71,102,98,0,28,86,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,111,486,0,28,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","other",572,116,252,0,0,171,0,0,6,347,14,0,150,2442,73,0,82,0,76,401,2084,2893,68,636,118,389,891,5440,443,1340,0,165,0,131,889,13034,21,46,75,0,828,0,0,669,0,0,414,247,0,3527,0
